Station,Week,AAS,TLH,CUME,SS,TSL
WYMSHD2,2024-03-04,3.905132275,656.0622222,245,687,02:41
WYMSHD2,2024-05-06,3.878616071,651.6075,280,881,02:20
WYMSHD2,2025-07-21,3.857693452,648.0925,295,766,02:12
WYMSHD2,2025-09-22,3.847387566,646.3611111,258,699,02:30
WYMSHD2,2025-05-12,3.72770172,626.2538889,275,731,02:17
WYMSHD2,2025-06-30,3.717448743,624.5313889,295,790,02:07
WYMSHD2,2024-04-01,3.693422619,620.495,227,764,02:44
WYMSHD2,2025-03-24,3.575631614,600.7061111,264,708,02:17
WYMSHD2,2025-02-24,3.515747354,590.6455556,310,754,01:54
WYMSHD2,2024-05-13,3.480496032,584.7233333,262,727,02:14
WYMSHD2,2025-01-20,3.453242394,580.1447222,246,612,02:22
WYMSHD2,2024-04-29,3.433445767,576.8188889,237,705,02:26
WYMSHD2,2024-04-22,3.417270172,574.1013889,226,669,02:32
WYMSHD2,2024-04-15,3.39318287,570.0547222,192,638,02:58
WYMSHD2,2024-03-25,3.368280423,565.8711111,239,842,02:22
WYMSHD2,2024-09-02,3.367094907,565.6719444,220,655,02:34
WYMSHD2,2024-03-11,3.323614418,558.3672222,220,652,02:32
WYMSHD2,2024-05-20,3.297668651,554.0083333,229,641,02:25
WYMSHD2,2025-01-27,3.253831019,546.6436111,269,704,02:02
WYMSHD2,2024-06-24,3.205272817,538.4858333,204,609,02:38
WYMSHD2,2024-07-08,3.127457011,525.4127778,265,769,01:59
WYMSHD2,2024-07-01,3.102414021,521.2055556,225,672,02:19
WYMSHD2,2024-03-18,2.99812996,503.6858333,252,709,02:00
WYMSHD2,2024-07-29,2.994212963,503.0277778,176,552,02:51
WYMSHD2,2024-07-22,2.936655093,493.3580556,210,704,02:21
WYMSHD2,2024-11-25,2.932032077,492.5813889,316,746,01:34
WYMSHD2,2024-06-17,2.839801587,477.0866667,241,628,01:59
WYMSHD2,2024-06-03,2.826213624,474.8038889,203,603,02:20
WYMSHD2,2025-02-03,2.795873016,469.7066667,267,670,01:46
WYMSHD2,2024-12-09,2.730907738,458.7925,225,606,02:02
WYMSHD2,2024-02-26,2.716843585,456.4297222,216,550,02:07
WYMSHD2,2024-10-21,2.704689153,454.3877778,228,590,02:00
WYMSHD2,2024-08-05,2.676168981,449.5963889,267,651,01:41
WYMSHD2,2024-08-12,2.639500661,443.4361111,230,634,01:56
WYMSHD2,2024-11-18,2.631595569,442.1080556,275,676,01:36
WYMSHD2,2024-02-19,2.555532407,429.3294444,226,558,01:54
WYMSHD2,2024-12-02,2.551962632,428.7297222,204,597,02:06
WYMSHD2,2025-01-13,2.528065476,424.715,294,726,01:27
WYMSHD2,2024-09-23,2.497787698,419.6283333,216,540,01:57
WYMSHD2,2024-05-27,2.487402447,417.8836111,244,558,01:43
WYMSHD2,2024-01-08,2.483154762,417.17,218,600,01:55
WYMSHD2,2025-02-10,2.451431878,411.8405556,283,767,01:27
WYMSHD2,2024-11-04,2.421164021,406.7555556,194,541,02:06
WYMSHD2,2025-01-06,2.395706019,402.4786111,226,635,01:47
WYMSHD2,2025-02-17,2.342777778,393.5866667,300,705,01:19
WYMSHD2,2024-01-01,2.325044643,390.6075,188,537,02:05
414 Music,2025-06-09,2.319241071,389.6325,80,418,04:52
WYMSHD2,2024-07-15,2.288955026,384.5444444,194,555,01:59
WYMSHD2,2024-02-12,2.258075397,379.3566667,224,586,01:42
WYMSHD2,2024-12-23,2.249409722,377.9008333,208,558,01:49
WYMSHD2,2024-11-11,2.240090939,376.3352778,229,573,01:39
WYMSHD2,2024-08-19,2.228573082,374.4002778,203,581,01:51
414 Music,2025-07-28,2.193116733,368.4436111,86,363,04:17
414 Music,2025-08-25,2.172152778,364.9216667,64,473,05:42
414 Music,2025-07-07,2.100410053,352.8688889,78,363,04:31
WYMSHD2,2024-09-16,2.097698413,352.4133333,197,566,01:47
WYMSHD2,2024-08-26,2.054918981,345.2263889,194,482,01:47
WYMSHD2,2024-01-29,2.04328373,343.2716667,199,504,01:44
414 Music,2025-06-16,2.035892857,342.03,78,364,04:23
414 Music,2025-06-02,2.033786376,341.6761111,82,347,04:10
414 Music,2025-03-10,2.006501323,337.0922222,63,249,05:21
WYMSHD2,2024-12-30,2.00370205,336.6219444,207,502,01:38
414 Music,2025-08-18,2.003138228,336.5272222,63,329,05:21
WYMSHD2,2024-09-09,1.987953042,333.9761111,210,590,01:35
414 Music,2025-07-14,1.983015873,333.1466667,83,344,04:01
WYMSHD2,2024-06-10,1.962008929,329.6175,207,615,01:36
WYMSHD2,2024-12-16,1.948999669,327.4319444,250,617,01:19
WYMSHD2,2024-01-15,1.948819444,327.4016667,160,405,02:03
414 Music,2025-08-04,1.922109788,322.9144444,62,275,05:13
WYMSHD2,2024-09-30,1.900722553,319.3213889,210,543,01:31
WYMSHD2,2024-02-05,1.872804233,314.6311111,194,586,01:37
WYMSHD2,2024-10-07,1.797364418,301.9572222,209,550,01:27
WYMSHD2,2024-10-14,1.796630291,301.8338889,198,565,01:31
WYMSHD2,2024-01-22,1.714214616,287.9880556,203,492,01:25
414 Music,2024-03-04,1.711929563,287.6041667,42,148,06:51
414 Music,2025-09-22,1.703123347,286.1247222,92,314,03:07
414 Music,2025-06-23,1.677127976,281.7575,77,308,03:40
414 Music,2024-12-02,1.676628638,281.6736111,69,312,04:05
414 Music,2025-07-21,1.673262235,281.1080556,83,323,03:23
414 Music,2025-06-30,1.670605159,280.6616667,70,319,04:01
WYMSHD2,2024-10-28,1.668602844,280.3252778,198,538,01:25
414 Music,2024-04-08,1.617549603,271.7483333,99,424,02:45
414 Music,2025-05-26,1.610881283,270.6280556,86,229,03:09
414 Music,2025-02-03,1.523473876,255.9436111,69,238,03:43
414 Music,2024-02-12,1.507705026,253.2944444,47,96,05:23
414 Music,2025-08-11,1.464406415,246.0202778,70,334,03:31
414 Music,2024-04-15,1.449613095,243.535,84,343,02:54
414 Music,2024-06-17,1.429310516,240.1241667,62,271,03:52
414 Music,2024-12-30,1.404866071,236.0175,74,277,03:11
414 Music,2025-03-17,1.397457011,234.7727778,53,187,04:26
414 Music,2024-04-22,1.33181713,223.7452778,44,241,05:05
414 Music,2025-03-03,1.290532407,216.8094444,93,224,02:20
414 Music,2024-04-29,1.285876323,216.0272222,76,295,02:51
414 Music,2024-05-20,1.260067791,211.6913889,65,167,03:15
414 Music,2024-12-09,1.255648148,210.9488889,53,271,03:59
414 Music,2025-04-07,1.20650959,202.6936111,90,256,02:15
414 Music,2024-08-26,1.190044643,199.9275,48,249,04:10
414 Music,2024-09-02,1.160046296,194.8877778,62,237,03:09
414 Music,2024-04-01,1.136109458,190.8663889,60,324,03:11
414 Music,2024-05-13,1.122127976,188.5175,49,121,03:51
414 Music,2024-05-06,1.103733466,185.4272222,49,228,03:47
414 Music,2025-04-28,1.099912368,184.7852778,54,121,03:25
414 Music,2025-09-01,1.03953869,174.6425,72,214,02:26
WYMSHD2,2025-09-29,3.373697917,161.9375,107,223,01:31
414 Music,2024-10-21,0.931335979,156.4644444,49,134,03:12
414 Music,2025-01-27,0.91375496,153.5108333,72,138,02:08
414 Music,2025-02-24,0.911820437,153.1858333,59,160,02:36
