Station,Hour of day,Week,AAS,TLH,CUME,SS,TSL
WYMSHD2,0,2024-09-30,1.097460317,7.682222222,10,3,00:46
WYMSHD2,5,2024-02-19,1.096865079,7.678055556,7,9,01:06
414 Music,15,2025-04-07,1.096626984,7.676388889,9,20,00:51
414 Music,13,2025-04-28,1.095753968,7.670277778,6,4,01:17
414 Music,22,2025-08-11,1.095277778,7.666944444,8,19,00:58
414 Music,1,2025-04-07,1.094722222,7.663055556,7,8,01:06
414 Music,4,2024-05-20,1.093809524,7.656666667,4,2,01:55
414 Music,4,2025-04-28,1.093730159,7.656111111,3,4,02:33
414 Music,8,2024-05-13,1.093293651,7.653055556,8,6,00:57
414 Music,1,2025-02-03,1.092698413,7.648888889,3,2,02:33
414 Music,20,2024-09-02,1.09202381,7.644166667,5,5,01:32
414 Music,5,2025-05-26,1.091111111,7.637777778,5,2,01:32
WYMSHD2,4,2024-12-30,1.090793651,7.635555556,14,11,00:33
WYMSHD2,6,2024-06-17,1.089206349,7.624444444,12,15,00:38
WYMSHD2,5,2024-06-03,1.089126984,7.623888889,14,11,00:33
WYMSHD2,0,2024-11-18,1.088571429,7.62,12,5,00:38
WYMSHD2,3,2024-01-15,1.088452381,7.619166667,6,2,01:16
414 Music,7,2025-04-07,1.08718254,7.610277778,8,14,00:57
WYMSHD2,7,2024-02-12,1.08718254,7.610277778,21,24,00:22
WYMSHD2,3,2025-01-06,1.086388889,7.604722222,10,4,00:46
414 Music,21,2025-04-07,1.08547619,7.598333333,8,8,00:57
414 Music,11,2025-01-13,1.083928571,7.5875,10,7,00:46
414 Music,20,2024-10-21,1.083888889,7.587222222,5,4,01:31
414 Music,16,2025-02-10,1.083809524,7.586666667,11,8,00:41
414 Music,18,2024-10-21,1.083214286,7.5825,7,10,01:05
414 Music,12,2024-09-09,1.082301587,7.576111111,11,12,00:41
WYMSHD2,7,2024-12-16,1.081984127,7.573888889,22,21,00:21
WYMSHD2,20,2024-10-14,1.079722222,7.558055556,25,37,00:18
WYMSHD2,5,2024-08-05,1.079206349,7.554444444,10,6,00:45
414 Music,5,2024-04-15,1.079087302,7.553611111,4,2,01:53
414 Music,12,2025-04-28,1.078452381,7.549166667,8,8,00:57
414 Music,5,2024-06-17,1.077539683,7.542777778,4,6,01:53
414 Music,5,2025-03-03,1.076468254,7.535277778,8,5,00:57
WYMSHD2,6,2024-01-01,1.076150794,7.533055556,8,4,00:57
414 Music,9,2025-09-15,1.076071429,7.5325,14,17,00:32
WYMSHD2,4,2024-09-23,1.075992063,7.531944444,12,9,00:38
WYMSHD2,1,2024-12-30,1.075396825,7.527777778,12,6,00:38
414 Music,4,2024-04-15,1.074642857,7.5225,4,1,01:53
WYMSHD2,5,2024-11-04,1.072777778,7.509444444,5,1,01:30
414 Music,12,2025-01-20,1.071031746,7.497222222,11,8,00:41
WYMSHD2,3,2024-05-20,1.070595238,7.494166667,10,3,00:45
414 Music,11,2025-01-20,1.069365079,7.485555556,10,7,00:45
414 Music,3,2024-05-20,1.068888889,7.482222222,6,2,01:15
414 Music,18,2024-05-13,1.068809524,7.481666667,8,12,00:56
414 Music,17,2024-05-06,1.067301587,7.471111111,6,7,01:15
414 Music,6,2024-10-14,1.06718254,7.470277778,3,2,02:29
WYMSHD2,2,2024-01-15,1.066031746,7.462222222,7,4,01:04
WYMSHD2,4,2024-07-01,1.065992063,7.461944444,10,5,00:45
WYMSHD2,1,2024-09-30,1.06484127,7.453888889,9,8,00:50
414 Music,3,2025-05-26,1.064285714,7.45,4,3,01:52
414 Music,15,2024-08-12,1.063849206,7.446944444,7,7,01:04
WYMSHD2,3,2024-09-23,1.062896825,7.440277778,12,8,00:37
414 Music,16,2025-01-13,1.062380952,7.436666667,8,6,00:56
414 Music,13,2024-01-29,1.060595238,7.424166667,10,5,00:45
414 Music,16,2024-10-21,1.060396825,7.422777778,7,10,01:04
414 Music,13,2025-01-20,1.059722222,7.418055556,17,14,00:26
WYMSHD2,17,2025-09-29,3.701388889,7.402777778,15,12,00:30
WYMSHD2,2,2024-09-23,1.056984127,7.398888889,9,1,00:49
414 Music,18,2024-05-06,1.056825397,7.397777778,10,12,00:44
WYMSHD2,4,2024-05-20,1.056230159,7.393611111,8,4,00:55
414 Music,9,2024-12-09,1.055357143,7.3875,5,13,01:29
414 Music,3,2024-04-15,1.054920635,7.384444444,3,1,02:28
414 Music,10,2024-03-11,1.05297619,7.370833333,13,10,00:34
414 Music,3,2025-03-24,1.052936508,7.370555556,5,1,01:28
414 Music,10,2025-05-19,1.051309524,7.359166667,7,2,01:03
414 Music,9,2025-03-24,1.050753968,7.355277778,9,6,00:49
414 Music,9,2024-07-29,1.049880952,7.349166667,11,12,00:40
414 Music,22,2024-04-15,1.049206349,7.344444444,3,4,02:27
414 Music,9,2025-09-08,1.048015873,7.336111111,8,15,00:55
414 Music,12,2024-10-07,1.047380952,7.331666667,10,16,00:44
414 Music,6,2025-01-13,1.047063492,7.329444444,9,8,00:49
414 Music,23,2024-04-29,1.047063492,7.329444444,3,3,02:27
WYMSHD2,0,2024-07-15,1.046746032,7.327222222,8,2,00:55
414 Music,18,2024-03-25,1.045952381,7.321666667,5,5,01:28
414 Music,8,2024-09-09,1.045833333,7.320833333,7,8,01:03
WYMSHD2,5,2024-11-11,1.045595238,7.319166667,10,7,00:44
414 Music,14,2025-02-10,1.04547619,7.318333333,11,22,00:40
414 Music,3,2025-03-03,1.044642857,7.3125,7,5,01:03
414 Music,12,2024-01-15,1.044563492,7.311944444,8,7,00:55
WYMSHD2,6,2024-08-19,1.043650794,7.305555556,9,11,00:49
414 Music,6,2025-01-27,1.04265873,7.298611111,4,1,01:49
414 Music,10,2025-01-13,1.0425,7.2975,13,13,00:34
414 Music,14,2024-05-13,1.042261905,7.295833333,6,6,01:13
414 Music,9,2025-04-28,1.041230159,7.288611111,8,5,00:55
414 Music,15,2025-01-27,1.040873016,7.286111111,12,11,00:36
414 Music,13,2025-05-19,1.040714286,7.285,6,8,01:13
414 Music,3,2025-04-07,1.040079365,7.280555556,6,6,01:13
414 Music,15,2024-02-19,1.03984127,7.278888889,8,4,00:55
WYMSHD2,1,2025-01-13,1.038571429,7.27,10,17,00:44
414 Music,10,2024-10-07,1.038452381,7.269166667,14,12,00:31
414 Music,8,2024-12-09,1.038333333,7.268333333,5,9,01:27
WYMSHD2,4,2024-08-12,1.037579365,7.263055556,5,3,01:27
414 Music,18,2024-04-29,1.035357143,7.2475,7,8,01:02
414 Music,16,2025-01-06,1.034206349,7.239444444,12,13,00:36
WYMSHD2,6,2024-12-23,1.032619048,7.228333333,14,11,00:31
414 Music,15,2025-01-13,1.032539683,7.227777778,11,11,00:39
414 Music,20,2025-04-07,1.032420635,7.226944444,7,8,01:02
414 Music,23,2024-10-21,1.031666667,7.221666667,3,2,02:24
WYMSHD2,1,2024-11-04,1.030753968,7.215277778,8,4,00:54
414 Music,1,2024-04-15,1.030674603,7.214722222,3,0,02:24
414 Music,3,2025-09-01,1.029960317,7.209722222,6,6,01:12
414 Music,14,2024-03-18,1.02968254,7.207777778,8,10,00:54
414 Music,6,2024-08-26,1.027936508,7.195555556,3,8,02:24
414 Music,14,2024-10-21,1.026785714,7.1875,6,4,01:12
414 Music,0,2025-03-03,1.026428571,7.185,8,4,00:54
414 Music,4,2024-06-17,1.023214286,7.1625,3,3,02:23
WYMSHD2,5,2024-07-29,1.02234127,7.156388889,9,3,00:48
414 Music,3,2024-04-29,1.021230159,7.148611111,2,0,03:34
414 Music,14,2025-05-19,1.020753968,7.145277778,7,13,01:01
WYMSHD2,0,2025-01-13,1.020753968,7.145277778,19,19,00:23
414 Music,1,2025-03-03,1.019920635,7.139444444,8,3,00:54
WYMSHD2,21,2024-12-16,1.019920635,7.139444444,17,22,00:25
414 Music,8,2024-08-12,1.019603175,7.137222222,9,10,00:48
414 Music,13,2024-08-19,1.018412698,7.128888889,9,12,00:48
414 Music,13,2024-08-05,1.015674603,7.109722222,14,16,00:30
414 Music,8,2025-09-01,1.013928571,7.0975,11,10,00:39
414 Music,8,2025-05-19,1.013769841,7.096388889,10,10,00:43
WYMSHD2,7,2024-11-18,1.0125,7.0875,21,16,00:20
WYMSHD2,6,2024-08-26,1.011984127,7.083888889,13,12,00:33
WYMSHD2,0,2024-08-19,1.011825397,7.082777778,11,8,00:39
414 Music,23,2024-05-20,1.011706349,7.081944444,6,6,01:11
414 Music,5,2025-01-27,1.011468254,7.080277778,4,1,01:46
WYMSHD2,5,2024-07-15,1.011190476,7.078333333,11,8,00:39
414 Music,4,2025-05-26,1.011150794,7.078055556,4,2,01:46
414 Music,9,2025-02-10,1.009642857,7.0675,14,10,00:30
414 Music,1,2024-04-01,1.009563492,7.066944444,3,1,02:21
414 Music,1,2025-04-28,1.009087302,7.063611111,6,1,01:11
WYMSHD2,6,2024-09-09,1.008769841,7.061388889,12,19,00:35
414 Music,12,2024-11-04,1.008095238,7.056666667,6,7,01:11
WYMSHD2,5,2024-01-01,1.00765873,7.053611111,10,7,00:42
414 Music,2,2024-06-17,1.006706349,7.046944444,3,6,02:21
414 Music,19,2024-03-25,1.006150794,7.043055556,3,3,02:21
414 Music,22,2025-09-01,1.003809524,7.026666667,6,4,01:10
414 Music,23,2024-09-02,1.003650794,7.025555556,6,9,01:10
414 Music,5,2024-09-02,1.003412698,7.023888889,4,4,01:45
WYMSHD2,4,2024-07-08,1.003214286,7.0225,7,2,01:00
414 Music,22,2024-08-26,1.003095238,7.021666667,2,8,03:31
414 Music,20,2024-08-26,1.003015873,7.021111111,2,8,03:31
414 Music,6,2024-05-20,1.002896825,7.020277778,4,1,01:45
414 Music,21,2024-08-26,1.002857143,7.02,2,7,03:31
414 Music,11,2024-06-10,1.002261905,7.015833333,7,7,01:00
414 Music,3,2025-04-28,1.002142857,7.015,5,7,01:24
414 Music,12,2024-10-21,1.001428571,7.01,7,10,01:00
414 Music,2,2025-04-28,1.001349206,7.009444444,3,2,02:20
WYMSHD2,5,2024-12-02,1.000952381,7.006666667,11,9,00:38
414 Music,23,2024-08-26,1.000079365,7.000555556,1,5,07:00
414 Music,0,2024-04-01,1,7,2,0,03:30
414 Music,2,2024-04-01,1,7,2,0,03:30
414 Music,2,2024-04-15,1,7,2,0,03:30
414 Music,4,2024-04-29,1,7,1,0,07:00
414 Music,6,2024-04-01,1,7,2,0,03:30
414 Music,22,2024-05-20,1,7,3,0,02:20
WYMSHD2,1,2024-01-15,1,7,3,0,02:20
414 Music,7,2024-05-06,0.999365079,6.995555556,6,6,01:10
414 Music,21,2025-05-19,0.998888889,6.992222222,9,5,00:47
414 Music,14,2024-03-25,0.995952381,6.971666667,8,1,00:52
WYMSHD2,7,2024-02-05,0.994880952,6.964166667,18,22,00:23
414 Music,19,2025-01-06,0.994325397,6.960277778,11,19,00:38
WYMSHD2,18,2024-09-30,0.993809524,6.956666667,18,16,00:23
414 Music,11,2024-06-24,0.993214286,6.9525,6,9,01:10
414 Music,8,2024-05-27,0.99218254,6.945277778,8,9,00:52
414 Music,10,2024-09-30,0.991865079,6.943055556,16,22,00:26
414 Music,20,2025-05-19,0.990873016,6.936111111,12,19,00:35
WYMSHD2,6,2024-02-26,0.990515873,6.933611111,8,4,00:52
414 Music,14,2024-03-11,0.98765873,6.913611111,11,10,00:38
WYMSHD2,2,2025-02-17,0.987619048,6.913333333,11,5,00:38
414 Music,21,2024-04-22,0.987222222,6.910555556,5,41,01:23
414 Music,0,2025-04-28,0.985833333,6.900833333,6,3,01:09
414 Music,12,2024-09-23,0.983849206,6.886944444,13,12,00:32
414 Music,3,2025-01-27,0.983769841,6.886388889,3,0,02:18
414 Music,14,2025-01-06,0.983293651,6.883055556,17,21,00:24
414 Music,22,2024-09-02,0.982777778,6.879444444,6,6,01:09
414 Music,11,2024-03-11,0.982103175,6.874722222,11,4,00:38
414 Music,22,2024-04-29,0.981428571,6.87,4,11,01:43
414 Music,12,2024-03-11,0.980833333,6.865833333,9,5,00:46
414 Music,21,2024-10-21,0.976706349,6.836944444,8,7,00:51
414 Music,1,2024-06-17,0.976309524,6.834166667,4,6,01:43
WYMSHD2,0,2024-10-07,0.976150794,6.833055556,11,4,00:37
414 Music,14,2024-01-15,0.973849206,6.816944444,8,8,00:51
WYMSHD2,2,2024-02-19,0.973690476,6.815833333,13,10,00:31
WYMSHD2,8,2025-09-29,3.406805556,6.813611111,11,17,00:37
414 Music,14,2025-09-01,0.972857143,6.81,10,13,00:41
414 Music,7,2025-09-01,0.971230159,6.798611111,11,13,00:37
WYMSHD2,0,2024-01-22,0.970833333,6.795833333,15,14,00:27
414 Music,14,2025-03-24,0.970793651,6.795555556,13,13,00:31
WYMSHD2,5,2024-01-29,0.97015873,6.791111111,11,13,00:37
414 Music,17,2025-02-10,0.969960317,6.789722222,11,7,00:37
414 Music,0,2024-10-21,0.969246032,6.784722222,5,3,01:21
WYMSHD2,5,2024-08-12,0.968333333,6.778333333,9,8,00:45
414 Music,18,2024-07-08,0.968015873,6.776111111,12,19,00:34
414 Music,18,2025-02-10,0.967380952,6.771666667,12,16,00:34
414 Music,21,2024-09-02,0.967103175,6.769722222,7,8,00:58
414 Music,13,2024-03-18,0.965277778,6.756944444,7,13,00:58
WYMSHD2,6,2024-09-16,0.965198413,6.756388889,14,12,00:29
414 Music,14,2024-08-19,0.964920635,6.754444444,7,9,00:58
414 Music,16,2024-01-29,0.964404762,6.750833333,7,3,00:58
414 Music,14,2024-10-07,0.963769841,6.746388889,9,13,00:45
WYMSHD2,1,2024-05-27,0.962619048,6.738333333,9,0,00:45
WYMSHD2,3,2024-09-16,0.961706349,6.731944444,6,2,01:07
414 Music,11,2024-09-23,0.961626984,6.731388889,11,6,00:37
414 Music,20,2024-03-25,0.960912698,6.726388889,6,6,01:07
WYMSHD2,0,2024-08-26,0.960873016,6.726111111,15,11,00:27
WYMSHD2,3,2025-02-17,0.959920635,6.719444444,11,5,00:37
414 Music,11,2024-11-04,0.959761905,6.718333333,14,16,00:29
414 Music,17,2024-10-07,0.959722222,6.718055556,17,17,00:24
414 Music,1,2025-01-20,0.959206349,6.714444444,4,3,01:41
WYMSHD2,6,2024-01-29,0.958928571,6.7125,11,7,00:37
